2 1000
2.71 4.98 1
0.34 3.46 1
-5.11 -2.04 1
-1.89 -1.02 1
-2.56 2.75 1
-3.32 4.46 1
2.61 4.63 1
-1.96 2.06 1
3.22 3.92 1
-0.61 4.03 1
0.51 2.87 1
-4.50 -4.45 1
-3.50 4.65 1
-1.93 4.06 1
-2.20 -0.00 1
-4.38 -0.55 1
0.56 4.58 1
-3.84 -1.80 1
3.49 4.68 1
-1.75 -1.59 1
-5.12 3.83 1
3.53 3.98 1
-2.97 -1.91 1
-1.64 0.87 1
-3.31 -1.91 1
2.43 4.40 1
-0.57 -0.40 1
-5.95 -4.78 1
-3.35 4.36 1
-1.86 5.67 1
-3.06 -1.25 1
2.69 2.82 1
1.88 3.15 1
-1.92 5.97 1
-5.48 1.82 1
-2.19 3.20 1
-0.17 5.51 1
-5.57 -4.51 1
-4.00 -0.51 1
1.89 4.99 1
-3.59 -0.47 1
1.33 1.62 1
-2.85 0.81 1
-2.12 0.37 1
-2.67 -1.43 1
-2.59 -0.43 1
-2.34 -2.26 1
0.37 2.53 1
-2.63 3.73 1
3.64 5.90 1
-2.40 2.25 1
-5.80 0.50 1
-2.84 -0.89 1
5.20 5.37 1
-1.61 2.17 1
-5.01 -4.35 1
-0.07 2.08 1
-3.07 3.18 1
1.27 4.24 1
-4.61 -3.51 1
-4.16 2.42 1
-2.82 -2.51 1
-5.86 1.11 1
-3.12 1.40 1
0.50 0.99 1
-2.70 -0.42 1
-0.27 4.55 1
-5.40 4.44 1
-4.02 0.82 1
2.80 3.93 1
-0.95 5.90 1
-4.49 2.96 1
-4.99 2.20 1
-4.08 0.18 1
-4.72 5.36 1
-5.90 5.96 1
-5.38 -2.34 1
-4.07 -3.92 1
-0.09 4.47 1
-3.61 2.00 1
-3.05 1.88 1
-3.14 3.83 1
-3.68 5.16 1
-5.03 -2.26 1
-3.34 0.91 1
-1.15 0.15 1
-1.77 0.59 1
-5.93 3.60 1
2.76 4.63 1
-4.43 -4.21 1
0.33 1.37 1
1.41 3.95 1
-3.88 -0.25 1
-4.23 1.79 1
3.00 4.77 1
-5.80 4.38 1
-1.24 -0.29 1
-0.22 4.46 1
0.03 1.43 1
-1.52 4.08 1
0.28 5.97 1
2.92 3.31 1
-2.32 2.32 1
-3.18 1.11 1
-0.30 4.80 1
-1.36 3.68 1
-1.71 2.46 1
-3.63 1.21 1
-4.31 4.04 1
-4.13 -3.34 1
-3.44 0.86 1
-3.02 5.88 1
-5.88 -2.93 1
-4.44 5.85 1
-2.59 -2.04 1
-0.90 2.69 1
-5.04 2.51 1
1.60 5.60 1
-4.88 2.44 1
-2.02 -1.53 1
-0.19 1.36 1
-4.67 3.81 1
-2.79 2.13 1
-3.77 1.69 1
-2.02 3.82 1
-3.12 4.48 1
-1.92 2.44 1
-5.82 0.92 1
1.99 4.78 1
3.54 3.72 1
2.91 4.52 1
-3.70 -2.00 1
0.02 2.10 1
-5.88 4.02 1
-4.66 -1.69 1
0.96 1.04 1
-5.00 3.34 1
-5.10 -0.78 1
-3.05 -1.63 1
4.60 5.51 1
-4.64 1.89 1
2.49 3.72 1
-5.50 -2.90 1
-1.44 5.59 1
1.12 5.62 1
-0.21 3.76 1
5.50 5.62 1
0.22 1.79 1
-4.38 -4.24 1
-4.67 -4.43 1
-0.45 5.55 1
0.62 5.37 1
-4.27 4.13 1
-2.52 -0.41 1
-3.43 -1.89 1
-2.76 -2.24 1
-4.74 4.90 1
-5.24 -2.12 1
-4.40 4.35 1
-5.75 -5.06 1
-4.95 1.14 1
-0.71 4.51 1
-3.59 1.85 1
-1.70 5.73 1
-5.06 2.37 1
-0.20 4.04 1
1.97 3.85 1
1.79 4.72 1
0.23 1.56 1
1.15 4.70 1
-1.39 -1.05 1
2.31 3.84 1
-1.96 0.41 1
-3.83 -1.32 1
-1.81 -0.09 1
-5.68 4.59 1
-3.33 -1.18 1
4.66 5.43 1
-4.81 -1.32 1
1.75 2.88 1
-3.91 -0.46 1
-3.44 -3.03 1
1.34 3.43 1
-0.39 1.73 1
1.21 1.72 1
-4.81 -1.18 1
-2.85 2.20 1
-5.64 -5.25 1
1.05 3.96 1
1.46 4.41 1
2.39 5.81 1
3.21 4.95 1
-0.41 4.02 1
1.96 5.15 1
-2.84 1.94 1
-4.09 1.92 1
-3.13 3.24 1
3.20 3.97 1
-0.89 0.34 1
-1.42 4.89 1
-1.52 -1.36 1
-5.83 4.70 1
-3.01 3.21 1
3.07 5.01 1
-1.50 3.57 1
-5.08 1.74 1
-5.44 -0.00 1
-5.91 -5.18 1
-3.80 -0.74 1
-1.76 0.71 1
-2.29 -1.08 1
3.12 5.07 1
-0.46 0.37 1
-5.56 -1.60 1
-4.68 4.76 1
-4.88 -2.37 1
-4.58 0.82 1
-0.78 0.76 1
-3.63 -1.29 1
-3.08 3.44 1
-1.35 0.63 1
-0.73 4.12 1
-3.21 1.06 1
-5.59 -1.34 1
-3.39 4.84 1
-3.67 -1.23 1
0.87 1.10 1
-3.97 5.76 1
-1.95 -0.25 1
-2.46 5.79 1
2.04 2.74 1
-3.72 3.73 1
-1.38 5.10 1
-3.74 0.34 1
